,league,season,team_x,player_name,nationality,position,age,YOB,MP,Starts,Min,90s_r,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Unnamed: 78,Unnamed: 79,xA,A-xAG,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Live,Dead,FK.1,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp.4,Off,Blocks,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,SCA,SCA90,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.2,Fld.1,Def.1,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Lost,Blocks.1,Sh.3,Pass,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live.1,Att.5,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.1,PrgDist.1,PrgC.1,1/3,CPA,Mis,Dis,Rec,PrgR.1,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,MP.1,Min.1,Mn/MP,Min%,90s,Starts.1,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,team_id,player_id,league_id,market_value_in_eur,team_y
0,ITA-Serie A,1718,Atalanta,Bryan Cristante,ITA,MF,22.0,1995.0,36.0,33.0,2824.0,31.4,9.0,2.0,11.0,9.0,0.0,1.0,4.0,0.0,8.2,7.5,4.9,12.3,63.0,212.0,167.0,0.29,0.06,0.35,0.29,0.35,0.26,0.16,0.42,0.24,0.39,ITA,MF,22.0,1995.0,31.4,9.0,78.0,21.0,26.9,2.49,0.67,0.12,0.43,16.0,0.0,0.0,1.0,8.2,7.5,0.1,0.8,1.5,ITA,MF,22.0,1995.0,31.4,1233.0,1622.0,76.0,19540.0,6260.0,620.0,751.0,82.6,491.0,614.0,80.0,77.0,144.0,53.5,2.0,4.9,4.5,-2.9,47.0,165.0,40.0,1.0,212.0,ITA,MF,22.0,1995.0,31.4,1622.0,1589.0,26.0,19.0,3.0,13.0,27.0,6.0,0.0,0.0,0.0,0.0,1233.0,7.0,41.0,ITA,MF,22.0,1995.0,31.4,97.0,3.09,74.0,0.0,6.0,11.0,3.0,3.0,5.0,0.16,4.0,0.0,0.0,1.0,0.0,0.0,ITA,MF,22.0,1995.0,31.4,66.0,50.0,21.0,32.0,13.0,18.0,59.0,30.5,41.0,43.0,6.0,37.0,23.0,89.0,27.0,0.0,ITA,MF,22.0,1995.0,31.4,1994.0,39.0,235.0,1062.0,721.0,121.0,1993.0,83.0,52.0,62.7,31.0,37.3,1175.0,6113.0,2323.0,63.0,56.0,11.0,66.0,69.0,1503.0,167.0,ITA,MF,22.0,1995.0,36,2824.0,78.0,82.6,31.4,33,,19.0,3,,2,1.56,48.0,32.0,16.0,0.51,0.21,51.2,30.4,20.7,0.66,-0.36,12,199248,IT1,18750000.0,AS Roma
1,ITA-Serie A,1718,Atalanta,Francesco Rossi,ITA,GK,26.0,1991.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,26.0,1991.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,ITA,GK,26.0,1991.0,0.1,3.0,3.0,100.0,100.0,91.0,0.0,0.0,,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,26.0,1991.0,0.1,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,ITA,GK,26.0,1991.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,26.0,1991.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,26.0,1991.0,0.1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,26.0,1991.0,1,8.0,8.0,0.2,0.1,0,,0.0,1,,36,0.0,0.0,1.0,-1.0,-11.25,-11.75,0.8,0.3,0.5,5.64,4.92,800,126634,IT1,150000.0,Atalanta BC
2,ITA-Serie A,1718,Atalanta,Hans Hateboer,NED,DF,23.0,1994.0,33.0,26.0,2398.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.2,2.2,1.3,3.5,73.0,113.0,218.0,0.0,0.04,0.04,0.0,0.04,0.08,0.05,0.13,0.08,0.13,NED,DF,23.0,1994.0,26.6,0.0,24.0,8.0,33.3,0.9,0.3,0.0,0.0,15.2,0.0,0.0,0.0,2.2,2.2,0.09,-2.2,-2.2,NED,DF,23.0,1994.0,26.6,1098.0,1394.0,78.8,16127.0,5408.0,637.0,748.0,85.2,366.0,452.0,81.0,58.0,97.0,59.8,1.0,1.3,1.8,-0.3,17.0,70.0,32.0,12.0,113.0,NED,DF,23.0,1994.0,26.6,1394.0,1193.0,198.0,14.0,0.0,8.0,53.0,184.0,0.0,0.0,0.0,0.0,1098.0,3.0,39.0,NED,DF,23.0,1994.0,26.6,56.0,2.1,48.0,3.0,2.0,2.0,1.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,NED,DF,23.0,1994.0,26.6,31.0,25.0,13.0,13.0,5.0,15.0,26.0,57.7,11.0,32.0,5.0,27.0,30.0,61.0,46.0,1.0,NED,DF,23.0,1994.0,26.6,1642.0,48.0,337.0,735.0,579.0,60.0,1642.0,28.0,11.0,39.3,17.0,60.7,851.0,4722.0,2740.0,73.0,54.0,10.0,34.0,24.0,1064.0,218.0,NED,DF,23.0,1994.0,33,2398.0,73.0,70.1,26.6,26,,21.0,7,,4,1.52,38.0,28.0,10.0,0.38,-0.33,42.9,26.6,16.3,0.61,-0.38,800,275303,IT1,8500000.0,Atalanta BC
3,ITA-Serie A,1718,Atalanta,José Luis Palomino,ARG,DF,27.0,1990.0,26.0,22.0,1979.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,0.4,2.1,16.0,80.0,4.0,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.1,0.08,0.1,ARG,DF,27.0,1990.0,22.0,1.0,9.0,2.0,22.2,0.41,0.09,0.11,0.5,9.6,0.0,0.0,0.0,1.7,1.7,0.19,-0.7,-0.7,ARG,DF,27.0,1990.0,22.0,955.0,1150.0,83.0,17935.0,6648.0,333.0,377.0,88.3,517.0,587.0,88.1,91.0,150.0,60.7,0.0,0.4,0.4,-0.4,2.0,57.0,5.0,3.0,80.0,ARG,DF,27.0,1990.0,22.0,1150.0,1071.0,77.0,38.0,0.0,4.0,7.0,39.0,0.0,0.0,0.0,0.0,955.0,2.0,14.0,ARG,DF,27.0,1990.0,22.0,12.0,0.55,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARG,DF,27.0,1990.0,22.0,60.0,39.0,36.0,19.0,5.0,24.0,51.0,47.1,27.0,36.0,21.0,15.0,39.0,99.0,111.0,1.0,ARG,DF,27.0,1990.0,22.0,1415.0,137.0,674.0,689.0,66.0,15.0,1415.0,14.0,12.0,85.7,2.0,14.3,709.0,4372.0,2386.0,16.0,11.0,0.0,13.0,7.0,827.0,4.0,ARG,DF,27.0,1990.0,26,1979.0,76.0,57.9,22.0,22,,20.0,4,,7,1.62,31.0,24.0,7.0,0.32,-0.37,36.3,22.0,14.3,0.65,-0.17,800,125020,IT1,5750000.0,Atalanta BC
4,ITA-Serie A,1718,Atalanta,Luca Vido,ITA,"FW,MF",20.0,1997.0,4.0,0.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38,ITA,"FW,MF",20.0,1997.0,0.8,0.0,4.0,2.0,50.0,4.86,2.43,0.0,0.0,20.7,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,ITA,"FW,MF",20.0,1997.0,0.8,29.0,33.0,87.9,517.0,97.0,14.0,16.0,87.5,8.0,8.0,100.0,4.0,4.0,100.0,0.0,0.1,0.1,-0.1,2.0,1.0,3.0,2.0,5.0,ITA,"FW,MF",20.0,1997.0,0.8,33.0,31.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,ITA,"FW,MF",20.0,1997.0,0.8,4.0,4.93,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",20.0,1997.0,0.8,5.0,5.0,2.0,3.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,ITA,"FW,MF",20.0,1997.0,0.8,48.0,0.0,2.0,18.0,28.0,6.0,48.0,3.0,2.0,66.7,1.0,33.3,37.0,161.0,72.0,3.0,0.0,1.0,3.0,2.0,42.0,8.0,ITA,"FW,MF",20.0,1997.0,4,74.0,19.0,2.2,0.8,0,,0.0,4,,16,1.5,1.0,0.0,1.0,1.22,0.76,3.0,0.2,2.8,3.46,2.8,800,264514,IT1,700000.0,Atalanta BC
5,ITA-Serie A,1718,Atalanta,Marten de Roon,NED,MF,26.0,1991.0,34.0,29.0,2571.0,28.6,3.0,3.0,6.0,2.0,1.0,2.0,9.0,2.0,3.4,1.8,1.4,3.2,31.0,205.0,33.0,0.11,0.11,0.21,0.07,0.18,0.12,0.05,0.17,0.06,0.11,NED,MF,26.0,1991.0,28.6,3.0,24.0,8.0,33.3,0.84,0.28,0.08,0.25,22.3,0.0,1.0,2.0,3.4,1.8,0.07,-0.4,0.2,NED,MF,26.0,1991.0,28.6,1431.0,1699.0,84.2,26299.0,7654.0,581.0,661.0,87.9,648.0,731.0,88.6,169.0,227.0,74.4,3.0,1.4,1.7,1.6,19.0,178.0,21.0,2.0,205.0,NED,MF,26.0,1991.0,28.6,1699.0,1651.0,41.0,28.0,0.0,22.0,4.0,13.0,0.0,0.0,0.0,0.0,1431.0,7.0,23.0,NED,MF,26.0,1991.0,28.6,59.0,2.07,51.0,0.0,1.0,3.0,2.0,2.0,7.0,0.25,4.0,0.0,1.0,0.0,0.0,2.0,NED,MF,26.0,1991.0,28.6,77.0,50.0,27.0,44.0,6.0,29.0,82.0,35.4,53.0,40.0,5.0,35.0,46.0,123.0,36.0,0.0,NED,MF,26.0,1991.0,28.6,1971.0,46.0,353.0,1264.0,371.0,44.0,1969.0,13.0,11.0,84.6,2.0,15.4,1115.0,5381.0,2681.0,31.0,22.0,2.0,26.0,17.0,1316.0,33.0,NED,MF,26.0,1991.0,34,2571.0,76.0,75.2,28.6,29,,24.0,5,,1,1.62,37.0,25.0,12.0,0.42,-0.22,47.5,26.8,20.7,0.72,0.01,800,133179,IT1,15500000.0,Atalanta BC
6,ITA-Serie A,1718,Atalanta,Rafael Tolói,ITA,DF,26.0,1990.0,31.0,29.0,2445.0,27.2,1.0,2.0,3.0,1.0,0.0,0.0,7.0,2.0,2.1,2.1,1.6,3.7,38.0,149.0,24.0,0.04,0.07,0.11,0.04,0.11,0.08,0.06,0.14,0.08,0.14,ITA,DF,26.0,1990.0,27.2,1.0,20.0,5.0,25.0,0.74,0.18,0.05,0.2,12.9,0.0,0.0,0.0,2.1,2.1,0.11,-1.1,-1.1,ITA,DF,26.0,1990.0,27.2,1360.0,1698.0,80.1,27592.0,10852.0,492.0,565.0,87.1,631.0,736.0,85.7,225.0,343.0,65.6,2.0,1.6,1.3,0.4,13.0,129.0,14.0,3.0,149.0,ITA,DF,26.0,1990.0,27.2,1698.0,1545.0,144.0,45.0,3.0,34.0,15.0,99.0,0.0,0.0,0.0,0.0,1360.0,9.0,21.0,ITA,DF,26.0,1990.0,27.2,28.0,1.03,26.0,0.0,0.0,2.0,0.0,0.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,ITA,DF,26.0,1990.0,27.2,72.0,40.0,34.0,38.0,0.0,35.0,68.0,51.5,33.0,35.0,14.0,21.0,63.0,135.0,119.0,1.0,ITA,DF,26.0,1990.0,27.2,2027.0,149.0,813.0,1031.0,209.0,34.0,2027.0,24.0,19.0,79.2,5.0,20.8,1035.0,6201.0,3595.0,38.0,29.0,3.0,23.0,11.0,1172.0,24.0,ITA,DF,26.0,1990.0,31,2445.0,79.0,71.5,27.2,29,,23.0,2,,1,1.65,40.0,28.0,12.0,0.44,-0.11,44.3,25.3,19.0,0.7,-0.09,800,72441,IT1,11000000.0,Atalanta BC
7,ITA-Serie A,1718,Atalanta,Riccardo Orsolini,ITA,"MF,FW",20.0,1997.0,8.0,0.0,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,6.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.19,0.38,0.57,0.19,0.57,ITA,"MF,FW",20.0,1997.0,1.4,0.0,3.0,0.0,0.0,2.16,0.0,0.0,,18.1,0.0,0.0,0.0,0.3,0.3,0.09,-0.3,-0.3,ITA,"MF,FW",20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0.0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,ITA,"MF,FW",20.0,1997.0,1.4,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,ITA,"MF,FW",20.0,1997.0,1.4,6.0,4.32,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.72,0.0,0.0,0.0,0.0,1.0,0.0,ITA,"MF,FW",20.0,1997.0,1.4,3.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,ITA,"MF,FW",20.0,1997.0,1.4,78.0,1.0,9.0,27.0,42.0,8.0,78.0,5.0,0.0,0.0,5.0,100.0,55.0,304.0,120.0,6.0,1.0,1.0,7.0,5.0,63.0,21.0,ITA,"MF,FW",20.0,1997.0,8,125.0,16.0,3.7,1.4,0,,0.0,8,,14,1.0,3.0,0.0,3.0,2.16,1.75,3.4,0.9,2.5,1.82,1.13,1025,368482,IT1,3750000.0,Bologna FC 1909
8,ITA-Serie A,1718,Bologna,Riccardo Orsolini,ITA,"FW,DF",20.0,1997.0,8.0,4.0,341.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,8.0,10.0,26.0,0.0,0.26,0.26,0.0,0.26,0.08,0.25,0.33,0.08,0.33,ITA,"FW,DF",20.0,1997.0,3.8,0.0,5.0,1.0,20.0,1.32,0.26,0.0,0.0,19.7,1.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,ITA,"FW,DF",20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1.0,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,ITA,"FW,DF",20.0,1997.0,3.8,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,ITA,"FW,DF",20.0,1997.0,3.8,6.0,1.58,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,DF",20.0,1997.0,3.8,5.0,5.0,4.0,1.0,0.0,1.0,5.0,20.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,ITA,"FW,DF",20.0,1997.0,3.8,146.0,5.0,33.0,67.0,49.0,7.0,146.0,5.0,3.0,60.0,2.0,40.0,103.0,590.0,216.0,8.0,7.0,2.0,7.0,10.0,113.0,26.0,ITA,"FW,DF",20.0,1997.0,8,341.0,43.0,10.0,3.8,4,,2.0,4,,5,0.25,2.0,8.0,-6.0,-1.58,-1.41,3.2,7.1,-3.9,-1.02,-0.7,1025,368482,IT1,3750000.0,Bologna FC 1909
9,ITA-Serie A,1718,Benevento,Amato Ciciretti,ITA,"MF,FW",23.0,1993.0,12.0,9.0,807.0,9.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,1.5,3.1,40.0,23.0,59.0,0.22,0.11,0.33,0.22,0.33,0.17,0.17,0.34,0.17,0.34,ITA,"MF,FW",23.0,1993.0,9.0,2.0,35.0,12.0,34.3,3.9,1.34,0.06,0.17,22.1,7.0,0.0,0.0,1.6,1.6,0.04,0.4,0.4,ITA,"MF,FW",23.0,1993.0,9.0,250.0,346.0,72.3,4256.0,983.0,114.0,138.0,82.6,98.0,126.0,77.8,26.0,56.0,46.4,1.0,1.5,1.7,-0.5,15.0,11.0,9.0,5.0,23.0,ITA,"MF,FW",23.0,1993.0,9.0,346.0,317.0,28.0,8.0,0.0,5.0,47.0,3.0,14.0,10.0,1.0,2.0,250.0,1.0,15.0,ITA,"MF,FW",23.0,1993.0,9.0,42.0,4.68,23.0,4.0,6.0,5.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,2.0,1.0,0.0,ITA,"MF,FW",23.0,1993.0,9.0,14.0,8.0,5.0,6.0,3.0,2.0,11.0,18.2,9.0,9.0,0.0,9.0,6.0,20.0,4.0,0.0,ITA,"MF,FW",23.0,1993.0,9.0,444.0,6.0,57.0,176.0,217.0,32.0,444.0,15.0,10.0,66.7,5.0,33.3,275.0,2034.0,1010.0,40.0,17.0,13.0,20.0,14.0,315.0,59.0,ITA,"MF,FW",23.0,1993.0,12,807.0,67.0,23.6,9.0,9,,4.0,3,,1,0.0,5.0,14.0,-9.0,-1.0,0.44,7.0,18.3,-11.4,-1.27,-0.45,130,159902,IT1,2150000.0,
